,price_per_sqft
446,4817.158719358355
447,4591.368227731864
448,4265.503921893884
449,4407.713498622589
450,12855.831037649219
451,7608.5131391151035
452,12462.203448750828
453,32522.06717911242
454,4833.019187086173
455,2984.3756456581923
456,6795.200017630788
457,3085.3994490358127
458,5693.275690447417
459,6427.9155188246095
460,19283.675725708996
461,14044.13965060341
462,14852.038562067148
463,15717.360850104213
464,15081.86503122113
465,11386.551380894834
466,4784.665870833353
467,4820.914504524772
468,12104.51623674764
469,15243.286526036634
470,6079.566324268869
471,3979.1736174667353
472,6654.139140711088
473,13085.339369424382
474,10009.145971915621
475,15883.573406927224
476,6611.570247933884
477,11937.513544486521
478,5770.839710233649
479,5196.061743547477
480,16528.86490775057
481,14692.324362444948
482,15610.594635097757
483,15610.594635097757
484,9406.663501249743
485,14833.588329780336
486,1652.886490775057
487,6244.260789715335
488,15151.445585649284
489,4591.354174000079
490,9550.045913682277
491,24487.222261333754
492,5693.275690447417
493,5876.92974497798
494,19747.781336766817
495,5509.621635916856
496,7713.470290283598
497,14692.324362444948
498,7870.8874613014705
499,7916.10198472509
500,6703.372990365508
501,9550.010835589217
502,8631.740562936408
503,7897.1243448141595
504,8448.086508405846
505,5693.275690447417
506,12626.204654707737
507,12855.78381713933
508,17447.135180403377
509,18984.494620372014
510,6657.459476732867
511,3516.778943090702
512,16324.806512781559
513,17266.602623267845
514,6244.260789715335
515,3826.1284783333995
516,8815.362237926627
517,6887.028625934483
518,6244.260789715335
519,6538.108356290175
520,4591.351363264046
521,5509.641873278237
522,7083.7880950382
523,4820.921882700083
524,8448.086508405846
525,3669.408009520626
526,6887.031261000119
527,7346.162181222474
528,6611.570247933884
529,6716.480564184368
530,6795.200017630788
531,7040.076400133455
532,7254.335153957193
533,7713.470290283598
534,5463.703105128075
535,4040.389199672361
536,6887.02704489607
537,6795.200017630788
538,6795.200017630788
539,6887.02704489607
540,4639.698419602726
541,8264.432453875284
542,5785.102717712699
543,7309.431370316362
544,7713.470290283598
545,8672.584430160188
546,6427.891908569665
547,9182.702726528092
548,5008.748614246217
549,6716.480564184368
550,3673.094582185491
551,8080.778399344722
552,6978.854072161351
553,6611.545963100227
554,9182.702726528092
555,11019.243271833711
556,8448.086508405846
557,5509.621635916856
558,5342.665188529298
559,4897.441454148317
560,9182.702726528092
561,4407.713498622589
562,8741.932995654744
563,10284.627053711463
564,3893.4802571166206
565,7309.431370316362
566,11019.283746556473
567,6611.545963100227
568,8999.04867199753
569,9917.31894465034
570,13223.140495867769
571,3856.735145141799
572,5068.851905043507
573,6611.545963100227
574,4701.543795982384
575,9550.010835589217
576,7897.1243448141595
577,6795.200017630788
578,8264.432453875284
579,7713.470290283598
580,9182.702726528092
581,9733.664890119779
582,10468.281108242027
583,9550.010835589217
584,9550.010835589217
585,8172.605426610003
586,14127.220328128236
587,5876.92974497798
588,4224.043254202923
589,4224.043254202923
590,3599.6194687990123
591,3599.6194687990123
592,7346.099221313482
593,7713.470290283598
594,6427.891908569665
595,8264.432453875284
596,8347.914357077027
597,8264.432453875284
598,7346.162181222474
599,6978.854072161351
600,3432.780998870615
601,8264.432453875284
602,7346.162181222474
603,7713.470290283598
604,3673.081090611237
605,6427.891908569665
606,7847.039495652406
607,4224.043254202923
608,2387.5027088973043
609,4820.914504524772
610,6978.854072161351
611,5968.7567722432605
612,7346.162181222474
613,13905.213668037948
614,7346.162181222474
615,7897.1243448141595
616,7529.816235753036
617,5325.967581386294
618,4040.389199672361
619,7346.162181222474
620,9366.356781058656
621,7208.415021051326
622,9458.183808323936
623,8631.740562936408
624,7805.297317548879
625,6821.4255729997485
626,7346.162181222474
627,4238.1261831435595
628,598.87172566884
629,10468.281108242027
630,6427.891908569665
631,8034.857507541287
632,6296.700528922845
633,8631.740562936408
634,10100.972999180902
635,21426.25389498687
636,5050.481861883095
637,8080.778399344722
638,8448.086508405846
639,10835.58921730315
640,7063.6234693127935
641,7070.681099426632
642,7713.470290283598
643,8631.740562936408
644,5436.179981634527
645,3673.081090611237
646,7346.162181222474
647,7713.470290283598
648,8631.740562936408
649,8631.740562936408
650,6427.9155188246095
651,7346.189164370982
652,7713.470290283598
653,3673.094582185491
654,6887.020720749674
655,7713.470290283598
656,5050.50505050505
657,7529.816235753036
658,7958.347234933471
659,9641.837862854498
660,4866.832445059889
661,8448.086508405846
662,4841.790327104676
663,7235.969748504137
664,5739.183933958062
665,8999.04867199753
666,2644.628099173554
667,14242.558263307423
668,10835.58921730315
669,9917.31894465034
670,6489.133761861034
671,4866.832445059889
672,7805.297317548879
673,8631.740562936408
674,8264.432453875284
675,10100.972999180902
676,8448.11753902663
677,3778.0203173537066
678,11019.243271833711
679,7254.335153957193
680,8264.432453875284
681,8264.432453875284
682,8264.432453875284
683,8876.590899351702
684,6887.031261000119
685,10100.972999180902
686,9963.23245828298
687,5968.7567722432605
688,8723.567590201688
689,8264.432453875284
690,8264.432453875284
691,7933.855155720272
692,9733.664890119779
693,10100.972999180902
694,7529.816235753036
695,8723.567590201688
696,9488.798626266831
697,5785.102717712699
698,14325.016253383825
699,9182.702726528092
700,10651.935162772588
701,7162.508126691912
702,7988.951372079441
703,11753.85948995596
704,6427.891908569665
705,7658.3740739244295
706,6611.545963100227
707,4040.40404040404
708,7346.162181222474
709,8815.394617466969
710,10039.791857973676
711,9182.70579278473
712,6978.854072161351
713,10560.108135507307
714,6611.570247933884
715,8631.740562936408
716,9182.680240708658
717,8723.567590201688
718,6427.891908569665
719,11753.85948995596
720,9825.49191738506
721,7346.162181222474
722,6887.02704489607
723,7621.643263018317
724,8264.432453875284
725,6427.891908569665
726,6887.02704489607
727,10100.972999180902
728,7805.297317548879
729,8631.740562936408
730,8154.240021156947
731,8264.432453875284
732,11019.243271833711
733,7713.470290283598
734,7713.498622589532
735,10202.998865426525
736,6060.583799508541
737,12451.744897172093
738,8723.567590201688
739,11019.243271833711
740,4349.703253578034
741,4414.14330177919
742,8347.942232239753
743,5325.967581386294
744,6611.570247933884
745,9969.775837461171
746,5662.6701479334315
747,11478.378408160115
748,6244.260789715335
749,6010.49833709546
750,6795.200017630788
751,6611.570247933884
752,8264.432453875284
753,25252.432497952253
754,5968.778696051423
755,8934.510041396563
756,11019.243271833711
757,2791.5518824609735
758,7897.1243448141595
759,5950.391366790204
760,8203.24456688093
761,8876.590899351702
762,9889.07285703791
763,7162.534435261708
764,5917.739341947385
765,6464.646464646465
766,6887.02704489607
767,7162.508126691912
768,7958.347234933471
769,9182.736455463728
770,11281.58844765343
771,5968.7567722432605
772,6559.0630509612965
773,7670.252599783504
774,6559.0630509612965
775,6152.410826773822
776,14640.60673157508
777,5509.608144425195
778,7162.508126691912
779,6978.854072161351
780,5509.608144425195
781,8448.086508405846
782,10651.935162772588
783,3636.3636363636365
784,6529.919273872976
785,10407.101316192226
786,7529.816235753036
787,10874.240615530349
788,8570.5330381805
789,5509.608144425195
790,8448.11753902663
791,9917.355371900827
792,8815.426997245178
793,4775.022956841139
794,6313.109573773277
795,5509.641873278237
796,6758.494031221304
797,6611.545963100227
798,7346.162181222474
